,Open,High,Low,Close,Volume
2020-12-30,15.95,16.22,15.85,15.95,5580940
2020-12-31,15.99,16.13,15.95,16.04,4513160
2021-01-04,16.25,16.71,16.2,16.48,14041500
2021-01-05,16.43,16.69,16.34,16.43,9215200
2021-01-06,16.71,17.57,16.57,17.57,15419900
2021-01-07,17.87,18.41,17.83,18.03,10679600
2021-01-08,18.34,18.34,17.87,17.96,8380100
2021-01-11,18.06,18.38,17.92,17.96,10911700
2021-01-12,17.96,18.06,17.69,17.87,9154200
2021-01-13,17.94,18.31,17.87,17.94,9063900
2021-01-14,18.1,18.27,17.87,18.17,8275700
2021-01-15,18.34,18.61,18.24,18.34,11321800
2021-01-18,18.38,18.5,17.92,17.92,7197000
2021-01-19,17.87,17.92,16.66,16.66,14466500
2021-01-20,16.71,16.9,15.69,16.55,11184000
2021-01-21,16.76,17.18,16.48,17.18,7568900
2021-01-22,17.15,17.78,17.04,17.45,11333200
2021-01-25,17.31,17.43,16.94,17.08,6580500
2021-01-26,16.94,16.97,16.01,16.01,8285900
2021-01-27,15.88,16.32,15.09,15.13,9544300
2021-01-28,14.27,14.81,14.09,14.09,13297400
2021-01-29,13.37,15.04,13.37,14.16,14819400
2021-02-01,14.76,15.13,14.62,14.85,12315100
2021-02-02,14.76,15.78,14.71,15.74,7767300
2021-02-03,16.01,16.36,15.78,16.2,10075600
2021-02-04,16.15,16.27,15.9,16.11,9413200
2021-02-05,16.22,16.62,16.13,16.62,8496700
2021-02-08,16.71,16.76,15.74,15.81,12845300
2021-02-09,15.99,16.46,15.78,16.43,8069900
2021-02-17,16.9,17.08,16.64,17.08,9896400
2021-02-18,17.04,17.2,16.85,17.08,10032300
2021-02-19,16.85,17.41,16.76,17.18,12154600
2021-02-22,17.18,17.66,17.08,17.18,11349900
2021-02-23,17.22,17.45,17.18,17.2,8347300
2021-02-24,17.38,17.71,17.2,17.41,14250600
2021-02-25,17.55,17.59,17.2,17.31,8490300
2021-02-26,17.06,17.34,16.94,17.29,8851000
2021-03-01,17.55,17.73,17.45,17.69,13954000
2021-03-02,17.87,17.92,17.64,17.64,7320600
2021-03-03,17.83,18.01,17.78,17.92,13074300
2021-03-04,18.1,18.1,17.41,17.78,10315800
2021-03-05,17.69,17.85,17.41,17.64,10156400
2021-03-08,17.83,17.92,17.43,17.59,7574900
2021-03-09,17.59,17.59,17.22,17.27,10113900
2021-03-10,17.29,17.55,17.2,17.43,7468500
2021-03-11,17.62,17.85,17.55,17.73,7639300
2021-03-12,17.8,17.87,17.62,17.62,6997500
2021-03-15,17.64,17.73,17.52,17.64,6762100
2021-03-16,17.71,17.73,17.48,17.5,7061600
2021-03-17,17.52,18.38,17.45,18.36,23685900
2021-03-18,19.12,19.24,18.66,18.8,16047000
2021-03-19,18.73,18.99,18.71,18.78,8287200
2021-03-22,19.01,19.38,18.8,19.08,20682100
2021-03-23,19.12,19.15,18.66,18.8,14649900
2021-03-24,18.57,18.78,18.06,18.1,18260600
2021-03-25,18.34,18.64,18.06,18.29,14674100
2021-03-26,18.24,18.47,17.55,18.13,16252400
2021-03-29,18.38,18.59,18.24,18.57,11589800
2021-03-30,18.71,18.94,18.5,18.75,11152600
2021-03-31,18.75,18.96,18.57,18.64,11841600
2021-04-01,18.71,19.19,18.71,19.06,18695800
2021-04-02,19.26,19.29,19.03,19.17,12198800
2021-04-05,19.5,19.64,19.26,19.5,16216000
2021-04-06,19.47,20.22,19.31,19.96,22526100
2021-04-07,19.96,20.33,19.87,19.96,12150700
2021-04-08,19.96,20.1,19.77,19.77,11652100
2021-04-09,19.73,19.82,19.64,19.73,14650600
2021-04-12,19.77,20.1,19.71,20.05,13503200
2021-04-13,20.19,20.19,19.5,19.52,15121500
2021-04-14,19.45,19.96,19.26,19.84,14310200
2021-04-15,19.91,19.96,19.5,19.59,13938300
2021-04-16,19.91,20.05,18.94,19.5,21441800
2021-04-19,19.59,19.73,19.17,19.73,16032000
2021-04-20,19.8,20.03,19.26,19.5,23241600
2021-04-22,19.38,19.47,18.17,18.17,21428500
2021-04-23,18.31,19.22,18.1,19.17,17558700
2021-04-26,19.17,19.17,18.41,18.43,12681700
2021-04-27,18.36,18.61,18.24,18.41,7161800
2021-04-28,18.38,18.78,18.36,18.45,7986500
2021-04-29,18.57,18.96,18.45,18.94,14195400
2021-05-04,18.59,19.96,18.59,19.96,25413700
2021-05-05,20.24,20.61,20.12,20.12,22165900
2021-05-06,19.96,20.29,19.82,19.91,19927200
2021-05-07,19.75,20.38,19.64,20.33,25587800
2021-05-10,19.75,20.94,20.66,20.8,25185800
2021-05-11,20.77,20.84,20.52,20.52,15717800
2021-05-12,20.38,20.89,20.35,20.89,19602800
2021-05-13,20.75,21.89,20.73,21.59,34020000
2021-05-14,21.82,22.03,21.65,21.82,17062600
2021-05-17,21.84,22.1,21.54,21.7,17025300
2021-05-18,21.65,21.79,21.45,21.61,17653600
2021-05-19,21.72,22.4,21.59,22.28,17470800
2021-05-20,22.58,22.7,22.3,22.7,14056500
2021-05-21,22.7,22.88,22.37,22.4,15853000
2021-05-24,22.65,23.95,22.56,23.77,30504900
2021-05-25,23.91,24.14,23.72,23.72,10875800
2021-05-26,23.77,24.05,23.58,23.91,13860100
2021-05-27,23.95,24.0,23.21,23.3,19716800
2021-05-28,23.49,23.81,23.26,23.77,16908700
2021-05-31,23.77,24.65,23.67,24.65,17663200
2021-06-01,24.83,25.02,24.37,24.42,10726300
2021-06-02,24.05,24.56,23.95,24.14,14835300
2021-06-03,24.6,25.16,24.14,24.88,17478700
2021-06-04,24.93,25.48,24.88,25.07,12980000
2021-06-07,24.93,24.97,23.67,24.14,17794800
2021-06-08,23.95,24.37,22.75,22.75,16100500
2021-06-09,22.98,23.67,22.51,23.44,14885700
2021-06-10,23.44,23.63,22.98,22.98,11556800
2021-06-11,23.21,24.56,23.02,24.56,17955900
